Date,Close,High,Low,Open,Volume
04-01-2000,6665.899902,6930.200195,6662.899902,6930.200195,633449000
05-01-2000,6535.899902,6665.899902,6500.399902,6665.899902,670234000
06-01-2000,6447.200195,6547.299805,6424.399902,6535.899902,785532000
07-01-2000,6504.799805,6532.399902,6438.799805,6447.200195,888306000
10-01-2000,6607.700195,6634.200195,6504.799805,6504.799805,735455000
11-01-2000,6518.899902,6638.100098,6510.799805,6607.700195,863011000
12-01-2000,6532.799805,6532.799805,6470.299805,6518.899902,779904000
13-01-2000,6531.5,6596.5,6509.399902,6532.799805,865831000
14-01-2000,6658.200195,6666.799805,6531.5,6531.5,1098626000
17-01-2000,6669.5,6694.299805,6638.299805,6658.200195,923472000
18-01-2000,6504.600098,6695.899902,6491.5,6669.5,854700000
19-01-2000,6445.5,6505.899902,6434.399902,6504.600098,863686000
20-01-2000,6348.700195,6492.700195,6328.299805,6445.399902,1008169000
21-01-2000,6346.299805,6374.700195,6287.100098,6348.700195,1007934000
24-01-2000,6379.799805,6480.399902,6346.299805,6346.299805,672107000
25-01-2000,6274.100098,6379.799805,6262.899902,6379.799805,805330000
26-01-2000,6375.600098,6380,6270.399902,6274.100098,1021822000
27-01-2000,6441,6451.600098,6375.600098,6375.600098,816596000
28-01-2000,6375.600098,6475.100098,6354.799805,6441,918227000
31-01-2000,6268.5,6375.600098,6246.799805,6375.600098,931453000
01-02-2000,6290.899902,6367.100098,6231.899902,6268.5,1214559000
02-02-2000,6302.799805,6345.200195,6241.600098,6290.899902,1336831000
03-02-2000,6324.299805,6393.5,6251.600098,6302.799805,1865400000
04-02-2000,6185,6364.899902,6171.200195,6324.299805,2309287000
07-02-2000,6118.600098,6232.100098,6100.700195,6185,1230759000
08-02-2000,6285.799805,6295.700195,6117.299805,6118.600098,2217462000
09-02-2000,6315.399902,6450.899902,6271.5,6285.799805,1840149000
10-02-2000,6279.799805,6320,6199.799805,6315.399902,2218541000
11-02-2000,6193.299805,6325.700195,6127.399902,6279.799805,3433671000
14-02-2000,6068.600098,6197.5,6027.5,6193.299805,1429935000
15-02-2000,6005.200195,6167.5,5972.700195,6068.600098,1510016000
